ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7001750009,한양증권,2023-12-31,2023-12-28,9180.0,800.0,16.0,10000000.0,8.714596949891067,1089,871200.0,8.712
KR7001750009,한양증권,2024-12-31,2024-12-30,11740.0,950.0,19.0,10000000.0,8.091993185689947,851,808450.0,8.0845
KR7001770007,신화다이나믹스,2020-12-31,2020-12-30,20400.0,100.0,2.0,10000000.0,0.49019607843137253,490,49000.0,0.49
KR7001770007,신화다이나믹스,2022-01-31,2022-01-28,29600.0,100.0,2.0,10000000.0,0.33783783783783783,337,33700.0,0.337
KR7001770007,신화다이나믹스,2022-12-31,2022-12-29,31900.0,100.0,2.0,10000000.0,0.3134796238244514,313,31300.0,0.313
KR7001770007,신화다이나믹스,2023-12-31,2023-12-28,21150.0,100.0,2.0,10000000.0,0.4728132387706856,472,47200.0,0.47200000000000003
KR7001770007,신화다이나믹스,2024-12-31,2024-12-30,13640.0,100.0,2.0,10000000.0,0.7331378299120235,733,73300.0,0.733
KR7001790005,대한제당,2020-12-31,2020-12-30,22950.0,900.0,36.0,10000000.0,3.9215686274509802,435,391500.0,3.9149999999999996
KR7001790005,대한제당,2021-12-31,2021-12-30,3020.0,110.0,22.0,10000000.0,3.642384105960265,3311,364210.0,3.6421
KR7001790005,대한제당,2022-12-31,2022-12-29,2545.0,120.0,24.0,10000000.0,4.715127701375246,3929,471480.0,4.7148
KR7001790005,대한제당,2023-12-31,2023-12-28,3180.0,115.0,23.0,10000000.0,3.6163522012578615,3144,361560.0,3.6156
KR7001790005,대한제당,2024-12-31,2024-12-30,2670.0,120.0,24.0,10000000.0,4.49438202247191,3745,449400.0,4.494
KR7001800002,오리온홀딩스,2020-12-31,2020-12-30,13200.0,650.0,130.0,10000000.0,4.924242424242424,757,492050.0,4.9205
KR7001800002,오리온홀딩스,2021-12-31,2021-12-30,15950.0,650.0,130.0,10000000.0,4.075235109717868,626,406900.0,4.069
KR7001800002,오리온홀딩스,2022-12-31,2022-12-29,15350.0,700.0,140.0,10000000.0,4.5602605863192185,651,455700.0,4.557
KR7001800002,오리온홀딩스,2023-12-31,2023-12-28,14600.0,750.0,150.0,10000000.0,5.136986301369863,684,513000.0,5.13
KR7001800002,오리온홀딩스,2025-02-28,2025-02-27,15250.0,800.0,160.0,10000000.0,5.245901639344262,655,524000.0,5.24
KR7001810001,무림에스피,2020-12-31,2020-12-30,3150.0,25.0,5.0,10000000.0,0.7936507936507936,3174,79350.0,0.7935
KR7001810001,무림에스피,2021-12-31,2021-12-30,3205.0,25.0,5.0,10000000.0,0.7800312012480499,3120,78000.0,0.7799999999999999
KR7001810001,무림에스피,2022-12-31,2022-12-29,2605.0,15.0,3.0,10000000.0,0.5758157389635317,3838,57570.0,0.5757
KR7001810001,무림에스피,2023-12-31,2023-12-28,1855.0,10.0,2.0,10000000.0,0.5390835579514826,5390,53900.0,0.539
KR7001810001,무림에스피,2025-03-10,2025-03-07,1461.0,10.0,2.0,10000000.0,0.6844626967830253,6844,68440.0,0.6844
KR7001820000,삼화콘덴서공업,2020-12-31,2020-12-30,65900.0,300.0,30.0,10000000.0,0.4552352048558422,151,45300.0,0.453
KR7001820000,삼화콘덴서공업,2021-12-31,2021-12-30,60200.0,500.0,50.0,10000000.0,0.8305647840531563,166,83000.0,0.83
KR7001820000,삼화콘덴서공업,2022-12-31,2022-12-29,30000.0,500.0,50.0,10000000.0,1.6666666666666667,333,166500.0,1.6650000000000003
